,class,tweet
96,1,""" On my way to fuck yo bitch me as a 9 year old"
97,1,""" how come you never bring me food"" i dont have a car retard"
98,1,""" If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople"
99,1,""" How bout them Cowboys!!!!"" Shutup pussy"
100,1,""" LMAOOOOOOOOOOO this nigga &lt;bitch want likes for some depressing shit..foh"
101,1,""" girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz"
102,1,""" Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again"
103,1,""" Harlem shake is just an excuse to go full retard for 30 seconds."""
104,1,""" amen miley ; but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"
105,1,""" having one loyal female is wayyyyy better than having hoes , idc ;"""
106,1,""" Pussy licking pussy.... meow meow #StopWhitePeople2014 ; ;"
107,1,""" Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands"
108,1,""" What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"
109,1,""" im the bitch okay nudes pat ;;;"" wow"
110,0,""" you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway "
111,1,""" The fuck be wrong with these bitches?"" Nobody knows"
112,1,""" Yall shut up:p"" make me bitch"
113,1,""" I hate a ""I'm pregnant"" type of bitch."""
114,1,""" Got bitches in the DM but I don't ever read'em"" which is y your top 3"
115,2,""" Baseball season for the win. #Yankees"" This is where the love started"
116,1,""" Little stupid as bitch I don't fuck with yoooooouuuu.."""
117,1,""" she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL"
118,2,""" I'm an early bird and I'm a night owl, so I'm wise and have worms."""
119,2,""" Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day."
120,2,""" Pit Bulls Photographed As Lovely Fairy Tale Creatures They *are* fairy tale creatures."
121,1,""" Aw."" ...fag, don't tweet ""aw"" to me lol"
122,2,""" As long as the Lakers trash from now on, I could careless. And that's real."". CC: hahaha"
123,1,""" I didn't say anything tho"" kiss me then faggot"
124,2,""" this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut ; yup"
125,1,""" I could go for a fat ass bitch on my lap"" same"
126,1,""" 17 missed calls!!!! ;;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle"
127,1,""" Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao ;;;;"
128,1,""" ; 3 | Amo los pies fuck yeah"
129,1,""" These hoes be thinking Meat won't slap they ass ;;"" ainna bruh"
130,1,""" Yall bitches wit no edges be doing the most talking ;;;"";;;"
131,1,""" Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
132,1,""" I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck"
133,1,""" If she kiss u with her eyes open watch that bitch!""lmfao"
134,1,""" You a woulda coulda shoulda ass hoe ;;"""
135,1,""" Happy Bday Bitch Ass Nigga that bitch roll up!"
136,1,""" used to send that bitch up"""
137,1,""" Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses;;"""
138,1,""" nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao"
139,1,""" Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em."""
140,2,""" This isn't ghetto.....it's smart I'm doing this idc"
141,1,""" I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
142,1,""" Being single isn't an excuse to be a hoe."" "
143,1,""" White boy power bitch"" black power bitch"
144,1,""" Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill."
145,1,""" bitch where u been"" Around the world and back. Where you been?"
146,1,""" if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off ;;;;"" *by *"
147,1,""" #oomf is soooo cute. But he probably has hoes on him a lot."""
148,1,""" In every cartoon theirs alway a saving these hoes lmao. lmao damn captain SaveAHoe"
149,2,""" Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking hot sox and legs"
150,1,""" I wish I was a bitch like my brother keezy ;"" ooooow I bet you do"
151,1,""" If you dressed up as a cat for Halloween you are basic."" ...or a pussy"
152,1,""" Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" get on it Katie&lt;3"
153,1,""" stop being scared to choke her during sex u bitch ass niggas. She;ll like it."". Says the guy who hits women out of bed. FOH"
154,1,""" ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig"
155,1,""" Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"
156,1,""" You're not a man if you refer to every girl as a bitch"""
157,1,""" Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!"
158,2,""" Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?"
159,1,""" io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha"
160,1,""" naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!"
161,1,""" Ol dirty foot ass bitches.."" this was too funny to me."
162,1,""" that's where I get my yellow flags for being amazing ;;"" HELL YEAH NIGGY"
163,1,""" Don't got time for bitches to be actin iffy."""
164,2,""" #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT"
165,1,""" These hoes ain't loyal ; no they ain't Smfh &amp; wonder why nobody decent wants them"
166,1,""" Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!"
167,1,""" dry pussy bitches always blame it on the condom;"";;;;"
168,1,""" shut yo bitch ass up! ;;"
169,1,""" Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back"""
170,1,""" You love these hoes more then money wats wrong these niggas"""
171,1,""" A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol"
172,1,""" Easy cum, easy hoe"" That's a fact !"
173,1,""" Charlie Sheen is too real major fucking respect for Charlie Sheen."
174,1,""" Wish I had a bae ;"" You got all the hoes tho"
175,1,""" Fuck twerking bitch can you cook ?"""
176,1,""" bitch wtf"" "
177,1,""" ; "" Shut up zoe"" fight me pussy; for zoe? I'm good, man."" You are good ma'am. Move along now"
178,1,""" Lmao fucking snake bitches"" @ em"
179,1,""" Big booty hoes everywhere sheesh ;"" damn ;;;"
180,2,""" Stay tuned to for an update on the report that 1B will be out 8-10 weeks"" #bum"
181,2,""" ; ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut yes lmfao"""
182,1,""" Oregon chokes every year get off the field trash ass program"" RFT"
183,1,""" Def not cowboy lol Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo"
184,0,""" LMFAOOOO I HATE BLACK PEOPLE This is why there's black people and niggers"
185,1,""" How could u do this to me bitch"" potent"
186,2,""" a pissed lad past out. I would lick his dirty soles while he slept."
187,2,""" love frat boy w/ soft long soles"
188,2,""" sexy lad with hot soles and arches."
189,1,""" nah fam I gotta cheat with the hoes"" depends on the female i feel"
190,2,""" ;;;;;"" I got hicks lol"
191,1,""" This new twitter is confusing the shit out of me."" Go back to south america bitch"
192,1,""" Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy"
193,1,""" but what if he actually does choose the ugly bitch over you? ;""Her ass must be fat!"
194,1,""" bitch couldn't kill my vibe if ya tried. ;;;"" dis why i love miley :*"
195,1,""" I'm tired of bitches saying I look mean.. ;"" nigga you big af, wear tight shirts, and grim everybody."
196,2,""" 10 birds your grandkids may never see, thanks to climate change #Climate"
197,1,""" ""Stay beautiful you bitch"""""
198,1,""" #WutKinda r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls"
199,1,""" Money getting taller and bitches getting blurry"""
200,1,""" I ain't never seen a bitch so obsessed with they nigga;"" I'm obsessed with mine ;"
201,1,""" Kobe stay talking trash. But let's not forget I meant to do this one. Smh."
202,0,""" ""At least I'm not a nigger"" Lmfao"
203,1,""" People always asking me what I'm mixed with."" She a bad asian bitch lol"
204,0,""" Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo"
205,2,""" ; Fosters home for imaginary trash; WHOA CHILL"" that show was everything tf"
206,1,""" I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!"
207,1,""" ; Stop bringing weird niggers into my mentions! "
208,1,""" We don't love these hoes ;;"""
209,1,""" If yo girl cant have homeboys you a ol weak bitch ass nigga!"""
210,1,""" I think worst advice I gave you was "" don't be a pussy and speed up"" lol"""
211,1,""" Quote this tweet with your favorite animal.""pussy"
212,1,""" I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!"""
213,1,""" Andrewbryant: Poff has double vision after 2 beers Poff: ... Double pussy ;"" smh"
214,1,""" When bitches TWERK on the computer.... ME: ""In ya ;, in ya damn ;;;"""""
215,1,""" ; ; Prince, THIS is art. nobody takin his bitch!"
216,2,""" 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now."""
217,1,""" These bitches don't care they just play that role."""
218,1,""" It took a while for you to find me, but I was hiding In the lime tree."" dis bitch in da wrong tree bro."
219,0,""" Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes ....dudes a fag"
220,2,""" inna di ghetto!!!"" You alone lmaoo"
221,2,""" ; hoes Austin; teach us Austin.""I teach u how to get curved? That's all I know"
222,1,""" bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!"
223,1,""" Fat hoes get chose"" lol"
224,1,""" #hoesaintloyal"" well they're hoes,no one expects them to be loyal"
225,1,""" ol bitch ass"" "
226,1,""" Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo"
227,1,""" Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you"
228,1,""" : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory"" Me: *rolls on the floor, laughing*"
229,1,""" ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot"
230,1,""" @ One of your followers with this ;; @ somebody, bitch if you don't"
231,1,""" If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!"
232,1,""" These catfish hoes thinkin they slick.. But niggas catching on ;"""
233,1,""" Can't worry about a bitch that ain't worried bout me"" #real"
234,1,""" Side hoes are for insecure niggas that can't handle a real one."""
235,1,""" ;;;; Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" ;;;"
236,1,""" My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers ;"""
237,1,""" i'm hungry but ionn wanna spend my money on food;""Broke hoe problems ;;;;"
238,1,""" Dese hoes be LYIN to all of us nigga"""
239,1,""" oh yeah fuck that bitch"
240,2,""" Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash"
241,2,""" USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. ; he's a bitch"
242,1,""" Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy"
243,2,""" Chilling ;; sexy scally lad"
244,1,""" I ain't sharing no bitch if you mines you mines ;"""
245,1,""" money only impress the simple broke bitches"""
246,1,""" #Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht"
247,2,""" tuku ho idk blah blah blah"" ;;;"
248,2,""" I'm not mad cuh hahaha"" suure.. tuku ho ita! ;;"
249,1,""" These hoes is crazy"""
250,1,""" You ain't ever gonna be a slice bitch."" Kevin hart. (:"
251,1,""" Oomf so fuckin fine tho ; dam"" @ her, don't be no bitch."
252,1,""" I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags"
253,1,""" #NewSATQuestions Yeah bitch, yeah bitch, call me _______: a.) Maybe b.) Steve-O c.) Later d.) Jesse Pinkman"" "
254,1,""" Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right"
255,1,""" Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass."
256,1,""" y'all come through the front.""bitch I ain't coming"
257,1,""" faggot bitch"" "
258,1,""" yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up work 2-5"
259,2,""" this scally lad would get it"
260,0,""" #GerrysHalloweenParty Halloween was yesterday stupid nigger"
261,1,""" Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead* "
262,1,""" ; I love eating pussy lol I never get full lol; I can eat that shit forever lol"" and ever."
263,1,""" ; "" ; No slushes ;;hoes nasty anyway fam"";;them hoes taste like meds"";;;"
264,1,""" ; No slushes ;;hoes nasty anyway fam"";"
265,1,""" BOBBY BITCH-by be getting me live as fuck"" hell yea i play that hoe before my workout"
266,1,""" Yo bitch is Gucci Mane : My bitch a stoner ;; "
267,1,""" I can ride your bitch with no handle bars"""
268,1,""" And if you ain't a hoe get up out my traphoussseeeee"""
269,2,""" 15 sad TV character deaths we're still bitter over... stark was the man"
270,1,""" These harbor bitches are all ""Party Bus hoes"""" Lol all?"
271,1,""" pussy"" love it"
272,1,""" Ultraviolence video, its coming you little bitch! #MTVHottest Lana Del Rey bitchy promo"
273,1,""" On my way to fuck your bitch LMFAO KITTYCOPTER"
274,2,""" A smuggler explains how he helped fighters along the ""Jihadi Highway"": "
275,1,""" "" Aww their avis look so cute together ; ;;;"" do I gotta get Ike avi on this bitch ?"
276,1,""" "" Its simple, dont be a hoe=dont worry about being exposed ;"" fight me""why ?"
277,1,""" whys this bitch boosting herself Her size isn't exactly the most healthy tho"
278,1,""" bet not be no bitches! ;;;;;"" ;; Kim bye!!!"
279,1,""" Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco"
280,1,""" I'm making marack my girlfriend ."" aye b you pullin hoes just like o taught you"
281,1,""" Bruno fag boy"" you love me."
282,1,""" ; I must be a bitch; you are ;;; sike naw"" This why we always beefing ;"
283,2,""" Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP"
284,1,""" ; Don't take advantage of a nice person;@ hoes""@ everyjuan"
285,1,""" Happy birthday bitch nigga Thanks pal"
286,1,""" Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday"
287,1,""" cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca"
288,1,""" ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs"";;;;;"
289,1,""" I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake.."
290,1,""" My pussy still fresh"" &lt;----- something stank girls say."
291,1,""" Ass slapping is one the greatest things. Haha. ;"" I slapped a girl on the ass. . She got mad I aint get pussy for a week"
292,1,""" yeah Texans are so much better you fucking retard"" I see that you're mad about this."
293,1,""" Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..looking like black&amp;milds out here"
294,1,""" There's a lane some bitches need to stay in ;"" the left n get right the fuck outta our face ;;;"
295,1,""" I hate when boys deny that they have bitches ;;"" smh"
296,1,""" Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!"
297,1,""" Im a boss ass bitch"" ...that needs to sit in a corner"
298,1,""" He's a hoe , I can't"""
299,1,""" Me And Paul Thinkin Bout Gettin Rentals For Da Weekend ;;;""oooh shit bitches betta stay out da streets"
300,1,""" bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. ;"""
301,1,""" why do my friends hate me"" because you a ratchet hoe.."
302,1,""" No love for these fuck niggas"" hoes*"
303,1,""" Hot meat sexy as fuck scally lad. I would love to meet him and his trainers."
304,1,""" Sniff perved up scally lad. fuck yeah."
305,1,""" These bitches love Sosa"""
306,1,""" ; I legit watched it for about 30 or 40 seconds ;;SO DID I WTF"" prob cause were retarded smh"
307,1,""" What should I name my cat, ideas?"" Mr pussy"
308,1,""" woof woof. Sexy thug boy scally."
309,1,""" u see the damn phone ringing? ;;;"" when you married bitches makes demands!!!! You haven't called me"
310,1,""" Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a little hoe"
311,1,""" 10 sex positions this what u call fucking the soul outta bitch ;"
312,0,""" is bored supposed to be cute, you faggot?"" Sometimes"
313,2,""" One mans trash ; is another mans treasure ;"""
314,1,""" I don't got no type. Bad bitches is the only thing I like"" *Iongotnotype"
315,0,""" lassen cc , the coach wants me"" i feel it youll get more my nig no doubt"
316,1,""" god teeth , gold chain white bitches , cocaine"""
317,1,""" Its me hoe, its me hoe;"" shhhhh"
318,1,""" In D.C., we call them rollers, in Chiraq we call them thots."" All across America they have been known as a hoe."
319,1,""" I'm gonna miss that bitch of a bus driver...""no you won't. Don't lie"
320,1,""" hate when bitches try and put you in the friendzone. bitch I'm tryin to score put me in the endzone ;;;"" ON. MY. SOUL!"
321,2,""" Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt; hahaha"
322,1,""" yall both gimped up??"" Ain't tht a bitch huh lol"
323,2,""" "" Take me for a ride ;; woof woof"
324,1,""" oh my god I love Victoria Mitchell"" all my bitches love me"
325,1,""" That long distance shit wack I knew the bitch was cheating""- uh oh"
326,1,""" HE'S DOING IT RIGHT ;;; no bitches smh"
327,1,""" they BAN dat pussy for life &amp; he gotta pay 2.5 millon dollar fine"""
328,1,""" Roses are red and violets are blue and niggers are black, you know that's true."" "
329,2,""" Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals"" "
330,1,""" But a nigga gon be a nigga, be a nigga."" You sound fuckin retarded"
331,2,""" a video an entire media will likely mock. i am such a crybaby"
332,1,""" I'm not even shy stfu"" kikis mom: Hi angelique Angelique: Smiles *Dips cracker in soup*"
333,1,""" Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville. Smh."" ;;;;"
334,1,""" Karma is a bitch #Damn #GodProtectsHisAngels ;"" *sips tea*"
335,1,""" Fuckin hot gym pussy fuck yeah"
336,2,""" Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport "
337,1,""" You can call me Fireman cause I turn the hoes on."""
338,1,""" I could never have a bby by a lil dick Thts y I got a abortion by the last bitch""- oh My God"
339,1,""" Watch women try to argue with me like they have a dick and actually fucked some pussy before"" I hate when bitches do that"
340,1,""" And smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come"" are you retarded?"
341,2,""" tweety bird tho ;;;;"
342,1,""" my pussy sweet like watermelon Thotermelon"
343,2,""" When twitter rappers dm me their trash links "
344,1,""" loud bitches annoy me"""
345,1,""" Eventually every bitch turns into that hoe."" # Truuu"
346,1,""" "" "" I swear if oomf try talking to me tomorrow.."" pussy"
347,1,""" You bitches be pretending to be TF crazy.."" You ain't never lied..."
348,1,""" k bye hoe"" um bye .."
349,0,""" Jackies a retard #blondeproblems"" At least I can make a grilled cheese!"
350,1,""" ima keep on giving these pussy ass niggas ah reason to hate !"""
351,2,""" Photo: he is in sole heaven"
352,0,""" Stacey Dash won ; baddest bitch evaaaa"
353,1,""" Side bitch Sunday ;;;"" ;;;"
354,1,""" Facts what baldheaded bitch made this shit. ;;;; Lmao ;;"
355,1,""" Fuck wit us and then we tweakin hoe"" shmurda!"
356,2,""" We actin like it's the 7th day ;spook"
357,1,""" I'll break that lil bitch neck and won't even feel sorry about it"" Savage"
358,1,""" This is so fucking hot!! #scally #sneakersex #sockfetish #sniff #trainersex love me some kinky scallies"
359,1,""" Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too."
360,1,""" I can turn yo bitch into a eaterrrrrrrrr"""
361,1,""" I don't trust dese hoes Nikki told 51st where I stay at all my fans screen shot ASAP"" we finna come to Chiraq and shoot sumn"
362,1,""" ; Aye yall ima tryout for the bowling team frfr; tryouts passed tho"" no theres two more retard"
363,1,""" Now u got what u want bitch ! Enjoy it now this is a crazy party I would love to attend."
364,2,""" colored contacts in your eyes? blinders on mine. cause i can't see you at all."" Lmao"
365,1,""" Facts "" Only the dudes with hoes say they don't got hoes;"" "
366,1,""" I'm rea start smacking bitches period !"" Bluffin at its best"
367,1,""" Lifes a bitch, and then you die Thats why we get high, cause you neva know when you're gonna go"" my sister is perfect (:"
368,1,""" One of us is on drugs, and its me but you're still wrong ; hahahahahahah im a bitch sometimes (:"
369,1,""" I'm feeling pretty fuckin ghetto"" Smh"
370,2,""" "" "" "" swears I'm #1 man"" easily"" easily"" behind Austin"" nip?"
371,1,""" This is a true ride or die bitch ; what the fuck hahahahah"
372,2,""" H.G.Wells and Charlie Chaplin #History #Photography"
373,1,""" All I see is Bruno's bitch ass on my twitter now. wtf"" Bruno's all that she sees (Drake voice)"
374,1,""" I'm about to cool faggot chill"" tf is cool nigga"
375,1,""" I'm so sure bitch"" frfr tf"
376,1,""" Twitter is not a source of news broadcast you fucking retards"" it is when nbc, abc, cnn, Fox, etc are all keeping quiet."
377,1,""" Got a couple bitches saying they know me But I;ma let the money talk for me ;;"" AND I'M LIKE... #WWYD"
378,1,""" Grudges are for weirdos""and bitches"
379,2,""" I told Mariam to but cigarettes for her birthday"" You also called me trash rn"
380,2,""" brownies tonight"" what kind?!?!"
381,1,""" No text back? I don't give a fuck, I'll text another bitch"" damn someone is hurt lol"
382,1,""" Ummmmmm okay you got hoes from left to right ;; do yah thang!"
383,1,""" using y=mx+b to find the slope of that ass"""
384,2,""" Fit lads! Nice gear! these scally lads n trainers would get it"
385,1,""" Hell yeah bro! fuck yeah sexy scally lad in hot gear"
386,1,""" Helping out a mate!! I love scally play. Fuck yeah"
387,1,""" Lads being Lads! fuck yeah. I love scally lad action. Hot trainers too."
388,1,""" Next year bitches is gonna be like you gotta promise you won't expose me ;;;"""
